"Laikotarpis","Rodiklis","Pajamų, sąnaudų, pelno sudedamosios dalys","Ekonominės veiklos rūšis (EVRK 2 red., 2 ženklų lygiu)","Matavimo vienetai","Reikšmė"
"2018K4","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Kasyba ir karjerų eksploatavimas","tūkst. EUR","17434"
"2019K1","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Kasyba ir karjerų eksploatavimas","tūkst. EUR","9671"
"2019K2","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Kasyba ir karjerų eksploatavimas","tūkst. EUR","21116"
"2019K3","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Kasyba ir karjerų eksploatavimas","tūkst. EUR","26576"
"2019K4","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Kasyba ir karjerų eksploatavimas","tūkst. EUR","17241"
"2020K1","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Kasyba ir karjerų eksploatavimas","tūkst. EUR","10887"
"2007K1","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","457512"
"2007K2","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","646991"
"2007K3","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","656178"
"2007K4","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","606393"
"2008K1","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","515427"
"2008K2","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","739889"
"2008K3","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","628155"
"2008K4","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","264108"
"2009K1","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","360088"
"2009K2","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","456903"
"2009K3","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","438837"
"2009K4","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","387167"
"2010K1","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","398711"
"2010K2","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","532396"
"2010K3","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","513743"
"2010K4","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","597518"
"2011K1","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","578827"
"2011K2","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","558324"
"2011K3","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","590888"
"2011K4","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","518277"
"2012K1","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","528038"
"2012K2","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","543434"
"2012K3","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","714383"
"2012K4","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","525529"
"2013K1","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","535722"
"2013K2","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","520185"
"2013K3","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","551747"
"2013K4","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","501497"
"2014K1","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","553237"
"2014K2","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","649424"
"2014K3","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","674415"
"2014K4","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","618740"
"2015K1","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","711029"
"2015K2","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","826819"
"2015K3","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","760918"
"2015K4","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","786264"
"2016K1","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","739551"
"2016K2","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","867456"
"2016K3","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","807346"
"2016K4","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","847380"
"2017K1","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","893758"
"2017K2","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","984760"
"2017K3","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","1018839"
"2017K4","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","1071510"
"2018K1","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","922667"
"2018K2","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","1003818"
"2018K3","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","1040253"
"2018K4","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","993176"
"2019K1","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","1011626"
"2019K2","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","1122708"
"2019K3","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","1111328"
"2019K4","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","1252347"
"2020K1","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Apdirbamoji gamyba","tūkst. EUR","911635"
"2007K1","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","137765"
"2007K2","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","44172"
"2007K3","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","-4698"
"2007K4","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","77669"
"2008K1","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","120867"
"2008K2","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","45702"
"2008K3","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","-17740"
"2008K4","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","68924"
"2009K1","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","137046"
"2009K2","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","54305"
"2009K3","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","47656"
"2009K4","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","67731"
"2010K1","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","130350"
"2010K2","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","25116"
"2010K3","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","13676"
"2010K4","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","98682"
"2011K1","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","230795"
"2011K2","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","148928"
"2011K3","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","144303"
"2011K4","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","268571"
"2012K1","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","227078"
"2012K2","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","183723"
"2012K3","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","281202"
"2012K4","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","242622"
"2013K1","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","278165"
"2013K2","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","171895"
"2013K3","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","178266"
"2013K4","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","199853"
"2014K1","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","229817"
"2014K2","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","230062"
"2014K3","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","168926"
"2014K4","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","300787"
"2015K1","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","210807"
"2015K2","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","139653"
"2015K3","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","160997"
"2015K4","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","161642"
"2016K1","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","252231"
"2016K2","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","137757"
"2016K3","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","123180"
"2016K4","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","192523"
"2017K1","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","214023"
"2017K2","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","133928"
"2017K3","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","112944"
"2017K4","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","205614"
"2018K1","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","243713"
"2018K2","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","115209"
"2018K3","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","85379"
"2018K4","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","198874"
"2019K1","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","238824"
"2019K2","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","130642"
"2019K3","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","120703"
"2019K4","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","192095"
"2020K1","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Elektros, dujų, garo tiekimas ir oro kondicionavimas","tūkst. EUR","272122"
"2007K1","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Vandens tiekimas, nuotekų valymas, atliekų tvarkymas ir regeneravimas","tūkst. EUR","16719"
"2007K2","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Vandens tiekimas, nuotekų valymas, atliekų tvarkymas ir regeneravimas","tūkst. EUR","19478"
"2007K3","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Vandens tiekimas, nuotekų valymas, atliekų tvarkymas ir regeneravimas","tūkst. EUR","18868"
"2007K4","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Vandens tiekimas, nuotekų valymas, atliekų tvarkymas ir regeneravimas","tūkst. EUR","15801"
"2008K1","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Vandens tiekimas, nuotekų valymas, atliekų tvarkymas ir regeneravimas","tūkst. EUR","18938"
"2008K2","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Vandens tiekimas, nuotekų valymas, atliekų tvarkymas ir regeneravimas","tūkst. EUR","22310"
"2008K3","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Vandens tiekimas, nuotekų valymas, atliekų tvarkymas ir regeneravimas","tūkst. EUR","28471"
"2008K4","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Vandens tiekimas, nuotekų valymas, atliekų tvarkymas ir regeneravimas","tūkst. EUR","15354"
"2009K1","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Vandens tiekimas, nuotekų valymas, atliekų tvarkymas ir regeneravimas","tūkst. EUR","13950"
"2009K2","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Vandens tiekimas, nuotekų valymas, atliekų tvarkymas ir regeneravimas","tūkst. EUR","17851"
"2009K3","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Vandens tiekimas, nuotekų valymas, atliekų tvarkymas ir regeneravimas","tūkst. EUR","19356"
"2009K4","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Vandens tiekimas, nuotekų valymas, atliekų tvarkymas ir regeneravimas","tūkst. EUR","20547"
"2010K1","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Vandens tiekimas, nuotekų valymas, atliekų tvarkymas ir regeneravimas","tūkst. EUR","16694"
"2010K2","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Vandens tiekimas, nuotekų valymas, atliekų tvarkymas ir regeneravimas","tūkst. EUR","23446"
"2010K3","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Vandens tiekimas, nuotekų valymas, atliekų tvarkymas ir regeneravimas","tūkst. EUR","23423"
"2010K4","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Vandens tiekimas, nuotekų valymas, atliekų tvarkymas ir regeneravimas","tūkst. EUR","17471"
"2011K1","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Vandens tiekimas, nuotekų valymas, atliekų tvarkymas ir regeneravimas","tūkst. EUR","18569"
"2011K2","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Vandens tiekimas, nuotekų valymas, atliekų tvarkymas ir regeneravimas","tūkst. EUR","24519"
"2011K3","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Vandens tiekimas, nuotekų valymas, atliekų tvarkymas ir regeneravimas","tūkst. EUR","24868"
"2011K4","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Vandens tiekimas, nuotekų valymas, atliekų tvarkymas ir regeneravimas","tūkst. EUR","21602"
"2012K1","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Vandens tiekimas, nuotekų valymas, atliekų tvarkymas ir regeneravimas","tūkst. EUR","22898"
"2012K2","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Vandens tiekimas, nuotekų valymas, atliekų tvarkymas ir regeneravimas","tūkst. EUR","25482"
"2012K3","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Vandens tiekimas, nuotekų valymas, atliekų tvarkymas ir regeneravimas","tūkst. EUR","26203"
"2012K4","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Vandens tiekimas, nuotekų valymas, atliekų tvarkymas ir regeneravimas","tūkst. EUR","22657"
"2013K1","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Vandens tiekimas, nuotekų valymas, atliekų tvarkymas ir regeneravimas","tūkst. EUR","22250"
"2013K2","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Vandens tiekimas, nuotekų valymas, atliekų tvarkymas ir regeneravimas","tūkst. EUR","23190"
"2013K3","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Vandens tiekimas, nuotekų valymas, atliekų tvarkymas ir regeneravimas","tūkst. EUR","28557"
"2013K4","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Vandens tiekimas, nuotekų valymas, atliekų tvarkymas ir regeneravimas","tūkst. EUR","22644"
"2014K1","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Vandens tiekimas, nuotekų valymas, atliekų tvarkymas ir regeneravimas","tūkst. EUR","25321"
"2014K2","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Vandens tiekimas, nuotekų valymas, atliekų tvarkymas ir regeneravimas","tūkst. EUR","31962"
"2014K3","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Vandens tiekimas, nuotekų valymas, atliekų tvarkymas ir regeneravimas","tūkst. EUR","33653"
"2014K4","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Vandens tiekimas, nuotekų valymas, atliekų tvarkymas ir regeneravimas","tūkst. EUR","30173"
"2015K1","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Vandens tiekimas, nuotekų valymas, atliekų tvarkymas ir regeneravimas","tūkst. EUR","28116"
"2015K2","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Vandens tiekimas, nuotekų valymas, atliekų tvarkymas ir regeneravimas","tūkst. EUR","30213"
"2015K3","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Vandens tiekimas, nuotekų valymas, atliekų tvarkymas ir regeneravimas","tūkst. EUR","27864"
"2015K4","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Vandens tiekimas, nuotekų valymas, atliekų tvarkymas ir regeneravimas","tūkst. EUR","29058"
"2016K1","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Vandens tiekimas, nuotekų valymas, atliekų tvarkymas ir regeneravimas","tūkst. EUR","29745"
"2016K2","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Vandens tiekimas, nuotekų valymas, atliekų tvarkymas ir regeneravimas","tūkst. EUR","34648"
"2016K3","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Vandens tiekimas, nuotekų valymas, atliekų tvarkymas ir regeneravimas","tūkst. EUR","41794"
"2016K4","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Vandens tiekimas, nuotekų valymas, atliekų tvarkymas ir regeneravimas","tūkst. EUR","41462"
"2017K1","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Vandens tiekimas, nuotekų valymas, atliekų tvarkymas ir regeneravimas","tūkst. EUR","39591"
"2017K2","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Vandens tiekimas, nuotekų valymas, atliekų tvarkymas ir regeneravimas","tūkst. EUR","37021"
"2017K3","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Vandens tiekimas, nuotekų valymas, atliekų tvarkymas ir regeneravimas","tūkst. EUR","40267"
"2017K4","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Vandens tiekimas, nuotekų valymas, atliekų tvarkymas ir regeneravimas","tūkst. EUR","41317"
"2018K1","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Vandens tiekimas, nuotekų valymas, atliekų tvarkymas ir regeneravimas","tūkst. EUR","39137"
"2018K2","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Vandens tiekimas, nuotekų valymas, atliekų tvarkymas ir regeneravimas","tūkst. EUR","45912"
"2018K3","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Vandens tiekimas, nuotekų valymas, atliekų tvarkymas ir regeneravimas","tūkst. EUR","43731"
"2018K4","Įmonių pajamos, sąnaudos, pelnas","Bendrasis pelnas, nuostolis (-)","Vandens tiekimas, nuotekų valymas, atliekų tvarkymas ir regeneravimas","tūkst. EUR","41262"
