"Laikotarpis","Rodiklis","Pajamų, sąnaudų, pelno sudedamosios dalys","Ekonominės veiklos rūšis (EVRK 2 red., 2 ženklų lygiu)","Matavimo vienetai","Reikšmė"
"2016K4","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Miškininkystė ir žuvininkystė","tūkst. EUR","108804"
"2017K1","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Miškininkystė ir žuvininkystė","tūkst. EUR","119799"
"2017K2","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Miškininkystė ir žuvininkystė","tūkst. EUR","117595"
"2017K3","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Miškininkystė ir žuvininkystė","tūkst. EUR","123953"
"2017K4","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Miškininkystė ir žuvininkystė","tūkst. EUR","123996"
"2018K1","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Miškininkystė ir žuvininkystė","tūkst. EUR","113698"
"2018K2","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Miškininkystė ir žuvininkystė","tūkst. EUR","129610"
"2018K3","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Miškininkystė ir žuvininkystė","tūkst. EUR","129257"
"2018K4","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Miškininkystė ir žuvininkystė","tūkst. EUR","132744"
"2019K1","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Miškininkystė ir žuvininkystė","tūkst. EUR","147319"
"2019K2","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Miškininkystė ir žuvininkystė","tūkst. EUR","131734"
"2019K3","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Miškininkystė ir žuvininkystė","tūkst. EUR","109903"
"2019K4","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Miškininkystė ir žuvininkystė","tūkst. EUR","125276"
"2020K1","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Miškininkystė ir žuvininkystė","tūkst. EUR","128422"
"2007K1","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","17538"
"2007K2","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","18701"
"2007K3","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","17381"
"2007K4","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","20213"
"2008K1","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","18044"
"2008K2","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","31408"
"2008K3","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","25060"
"2008K4","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","32352"
"2009K1","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","16698"
"2009K2","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Žvejyba ir akvakultūra","tūkst. EUR","16971"
